SIN6542A1	SIN6542A2	SIN6542A3	SIN6542A4	SIN6542A5	SIN6542A6	SIN6542A7	SIN6542A8	SIN6542A9	SIN6542A10	SIN6542A11	SIN6542A12	SIN6542A13	SIN6542A14	SIN6542A15	SIN6542A16	SIN6542A17	SIN6542A18	SIN6542A19	SIN6542A20	SIN6175A19	SIN6175A20	SIN6175A23	SIN6175A22
Assigned	27770637	32072796	29601815	27593406	31453330	28847835	28528135	30727055	30841433	27794263	32822298	27602676	28443782	32712973	30404023	30098105	30183568	34486901	36798390	29651055	25534610	26096748	23133463	22279175
Ambiguity	661332	761268	705771	661909	848845	732008	718407	786971	741261	689052	846293	637780	776194	887609	851567	824423	760169	884420	921072	724139	656777	638011	569545	587016
MultiMapping	12470735	14056355	12985425	10418213	11314804	12350749	12565193	12249501	14338525	13005171	11398189	11626356	5896417	4477141	8169773	6264516	12027087	15289325	15800658	11737910	6719551	9075166	7989749	5389886
NoFeatures	1275619	1469813	1252438	1052594	1557830	1155476	1170686	1535329	1268341	1212515	1365047	1170523	1547060	1870891	1645683	1886373	1364372	1321073	1877504	1259688	1006697	919543	1419573	1016029
Unmapped	418297	443580	412845	382028	519746	373920	398969	489411	382949	350670	406881	378272	534838	680234	606303	627920	441080	429975	487545	365707	457439	402750	561689	438311
MappingQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FragmentLength	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Secondary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nonjunction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Duplicate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
