Sample	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
SIN6542A1	5421859159	5232768652		3351121164	1629190784	108551189	143905515	0	0	0		0.640411	0.311344	0.020745	0.027501	0.951755	0.918562	0	0.406324	0.47271	0.449082	0.883518			
SIN6542A2	6225617083	6019587980		3907328151	1820971043	134004748	157284038	0	0	0		0.649102	0.302508	0.022261	0.026129	0.95161	0.920117	0	0.394196	0.509954	0.434814	0.943924			
SIN6542A3	5730729023	5541190679		3604348789	1684251923	107905412	144684555	0	0	0		0.650465	0.303951	0.019473	0.026111	0.954416	0.92285	0	0.39862	0.523606	0.434651	0.953354			
SIN6542A4	5202591943	5032382031		3370075709	1450681170	90910449	120714703	0	0	0		0.669678	0.288269	0.018065	0.023988	0.957947	0.926607	0	0.397296	0.535933	0.435428	1.006719			
SIN6542A5	5959269999	5735116718		3572455394	1854549958	131550478	176560888	0	0	0		0.622909	0.323367	0.022938	0.030786	0.946276	0.910683	0	0.413814	0.483539	0.449169	0.906718			
SIN6542A6	5556776115	5365405087		3416601815	1715925386	94844959	138032927	0	0	0		0.636784	0.319813	0.017677	0.025726	0.956596	0.923652	0	0.409612	0.4548	0.459661	0.825427			
SIN6542A7	5527189676	5349026317		3343230502	1769428873	93879927	142487015	0	0	0		0.625017	0.330795	0.017551	0.026638	0.955811	0.925002	0	0.427262	0.433902	0.476444	0.753645			
SIN6542A8	5911872163	5705689116		3666542386	1741187589	132858515	165100626	0	0	0		0.642612	0.305167	0.023285	0.028936	0.947779	0.914724	0	0.397579	0.494066	0.448268	0.894384			
SIN6542A9	6024325048	5836455538		3809208223	1771630402	106277540	149339373	0	0	0		0.652658	0.303546	0.018209	0.025587	0.956203	0.926384	0	0.400752	0.503938	0.43459	0.969304			
SIN6542A10	5450127202	5276922450		3461365497	1572669326	107689044	135198583	0	0	0		0.655944	0.298028	0.020408	0.025621	0.953972	0.923655	0	0.404961	0.51026	0.441998	0.915706			
SIN6542A11	6134416997	5935674585		3997563680	1669409497	123650415	145050993	0	0	0		0.673481	0.28125	0.020832	0.024437	0.954731	0.9238	0	0.390448	0.534286	0.441645	0.946326			
SIN6542A12	5307350140	5132351573		3367513236	1531117943	100849823	132870571	0	0	0		0.656135	0.298327	0.01965	0.025889	0.954461	0.92299	0	0.402797	0.506256	0.439927	0.920873			
SIN6542A13	5097399656	4879556893		2987333436	1598640940	138784685	154797832	0	0	0		0.612214	0.32762	0.028442	0.031724	0.939834	0.899669	0	0.414202	0.491342	0.444286	0.887328			
SIN6542A14	5709864830	5448218121		3301257754	1792762277	168579298	185618792	0	0	0		0.605933	0.329055	0.030942	0.03407	0.934988	0.892144	0	0.421241	0.461913	0.454563	0.850868			
SIN6542A15	5595327883	5368807200		3386565924	1665788279	140262491	176190506	0	0	0		0.630786	0.310272	0.026125	0.032817	0.941057	0.902959	0	0.410325	0.530654	0.434414	1.000238			
SIN6542A16	5440195147	5201444789		3136458543	1712109534	175852851	177023861	0	0	0		0.602998	0.32916	0.033808	0.034034	0.932158	0.891249	0	0.406467	0.494337	0.454431	0.891959			
SIN6542A17	5779099212	5581015347		3636451733	1678059359	123853453	142650802	0	0	0		0.651575	0.300673	0.022192	0.02556	0.952248	0.919609	0	0.391612	0.528745	0.430414	0.962643			
SIN6542A18	6673258329	6461678671		4249740265	1943006932	103885581	165045893	0	0	0		0.657684	0.300697	0.016077	0.025542	0.958381	0.927995	0	0.396066	0.510838	0.430648	0.952475			
SIN6542A19	7159902780	6918542899		4505265534	2051711864	180682349	180883152	0	0	0		0.651187	0.296553	0.026116	0.026145	0.94774	0.915791	0	0.389909	0.512876	0.434592	0.944712			
SIN6542A20	5647024254	5456090446		3553425605	1653645403	109523031	139496407	0	0	0		0.651277	0.303082	0.020074	0.025567	0.954359	0.922091	0	0.399085	0.519446	0.429347	0.950314			
SIN6175A19	4619024780	4427826593		2779769226	1445117503	79163834	123776030	0	0	0		0.627795	0.326372	0.017879	0.027954	0.954167	0.914671	0	0.409406	0.510375	0.468007	0.894414			
SIN6175A20	4854745294	4674824630		3035762726	1449639189	72616431	116806284	0	0	0		0.649385	0.310095	0.015534	0.024986	0.95948	0.923921	0	0.41209	0.490624	0.46254	0.877038			
SIN6175A23	4415381424	4210845067		2665854607	1275602159	126824593	142563708	0	0	0		0.633093	0.302933	0.030119	0.033856	0.936025	0.892665	0	0.403116	0.491037	0.470865	0.885615			
SIN6175A22	4020014134	3846417285		2384810263	1262593854	81960552	117052616	0	0	0		0.620008	0.328252	0.021308	0.030432	0.94826	0.907311	0	0.414148	0.495923	0.483919	0.887858			
